ID,수집일시,기관,제목,주제,전체기간,대상,홈페이지,포스터URL
313265,2026-04-10 23:40,서울대학교 한국사회과학자료원,KOSSDA대학생공모전 2026 - 데이터로 읽는 한국 사회: 변화와 미래를 그리다,기획/아이디어학술,시작일2026.04.06마감일2026.05.18,대학생,https://kossda.snu.ac.kr/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
313187,2026-04-10 23:40,데이콘 주식회사,[데이콘]스마트 창고 출고 지연 예측 AI 경진대회(~5/4),과학/공학,시작일2026.03.31마감일2026.05.04,대상 제한 없음,https://dacon.io/competitions/official/236696/overview/description,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
313165,2026-04-10 23:40,한국통계진흥원,[국가데이터처] 2026년 국가데이터 활용대회,과학/공학기타,시작일2026.04.06마감일2026.05.07,대상 제한 없음,https://data.kostat.go.kr/sbchome/index.do,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
313051,2026-04-10 23:41,기후에너지환경부,기후에너지환경부 2026 AX 아이디어 경진대회,기획/아이디어과학/공학,시작일2026.04.06마감일2026.05.18,대상 제한 없음,https://www.konetic.or.kr/ecothon/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
312985,2026-04-10 23:41,서울패션허브,‘2026년 AI 가상의류 디자인 공모전’ 디자인 모집 공고,디자인/순수미술/공예과학/공학,시작일2026.03.30마감일2026.05.10,대상 제한 없음,-,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
312887,2026-04-10 23:41,한국언론진흥재단 미디어교육지원팀,제8회 청소년 체커톤 대회(~4.15),기획/아이디어학술,시작일2026.03.04마감일2026.04.15,"청소년, 대학생",https://www.checkathon.org/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
312872,2026-04-10 23:42,엔티렉스,2026 아두이노 메이커 공모전,기타과학/공학,시작일2026.04.01마감일2026.06.30,대상 제한 없음,https://www.devicemart.co.kr/board/?id=arduino_contest,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
312723,2026-04-10 23:42,한국디지털교육협회,[한국디지털교육협회] 2026년 제16회 e-ICON 대회 중·고등 참가자를 모집합니다(~5/29 17시까지),과학/공학기획/아이디어,시작일2026.03.31마감일2026.05.29,청소년,https://e-icon.or.kr/ko/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
312695,2026-04-10 23:42,양천구,제4회 청소년 전국 드론축구 경진대회,과학/공학예체능/패션,시작일2026.04.01마감일2026.05.07,청소년,-,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
312680,2026-04-10 23:42,인천연구원,제31회 도시연구세미나 발표공모,학술,시작일2026.04.01마감일2026.06.30,대상 제한 없음,https://www.ii.re.kr/base/main/view,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
